State,Year,ConsumptionType,ConsumptionValue
Alaska,1960,Consumption.Commercial.Natural Gas,0
Alaska,1961,Consumption.Commercial.Natural Gas,122
Alaska,1962,Consumption.Commercial.Natural Gas,19
Alaska,1963,Consumption.Commercial.Natural Gas,1632
Alaska,1964,Consumption.Commercial.Natural Gas,1944
Alaska,1965,Consumption.Commercial.Natural Gas,2293
Alaska,1966,Consumption.Commercial.Natural Gas,2562
Alaska,1967,Consumption.Commercial.Natural Gas,2722
Alaska,1968,Consumption.Commercial.Natural Gas,4737
Alaska,1969,Consumption.Commercial.Natural Gas,11073
Alaska,1970,Consumption.Commercial.Natural Gas,12582
Alaska,1971,Consumption.Commercial.Natural Gas,14327
Alaska,1972,Consumption.Commercial.Natural Gas,16088
Alaska,1973,Consumption.Commercial.Natural Gas,12416
Alaska,1974,Consumption.Commercial.Natural Gas,13167
Alaska,1975,Consumption.Commercial.Natural Gas,14483
Alaska,1976,Consumption.Commercial.Natural Gas,14257
Alaska,1977,Consumption.Commercial.Natural Gas,14633
Alaska,1978,Consumption.Commercial.Natural Gas,15189
Alaska,1979,Consumption.Commercial.Natural Gas,15841
Alaska,1980,Consumption.Commercial.Natural Gas,16551
Alaska,1981,Consumption.Commercial.Natural Gas,16209
Alaska,1982,Consumption.Commercial.Natural Gas,24210
Alaska,1983,Consumption.Commercial.Natural Gas,24728
Alaska,1984,Consumption.Commercial.Natural Gas,24690
Alaska,1985,Consumption.Commercial.Natural Gas,20466
Alaska,1986,Consumption.Commercial.Natural Gas,21074
Alaska,1987,Consumption.Commercial.Natural Gas,20415
Alaska,1988,Consumption.Commercial.Natural Gas,20920
Alaska,1989,Consumption.Commercial.Natural Gas,21648
Alaska,1990,Consumption.Commercial.Natural Gas,20451
Alaska,1991,Consumption.Commercial.Natural Gas,20937
Alaska,1992,Consumption.Commercial.Natural Gas,21343
Alaska,1993,Consumption.Commercial.Natural Gas,19872
Alaska,1994,Consumption.Commercial.Natural Gas,20719
Alaska,1995,Consumption.Commercial.Natural Gas,25134
Alaska,1996,Consumption.Commercial.Natural Gas,27017
Alaska,1997,Consumption.Commercial.Natural Gas,26903
Alaska,1998,Consumption.Commercial.Natural Gas,27045
Alaska,1999,Consumption.Commercial.Natural Gas,27662
Alaska,2000,Consumption.Commercial.Natural Gas,27201
Alaska,2001,Consumption.Commercial.Natural Gas,16015
Alaska,2002,Consumption.Commercial.Natural Gas,15747
Alaska,2003,Consumption.Commercial.Natural Gas,17338
Alaska,2004,Consumption.Commercial.Natural Gas,18442
Alaska,2005,Consumption.Commercial.Natural Gas,16968
Alaska,2006,Consumption.Commercial.Natural Gas,18633
Alaska,2007,Consumption.Commercial.Natural Gas,18867
Alaska,2008,Consumption.Commercial.Natural Gas,17128
Alaska,2009,Consumption.Commercial.Natural Gas,16701
Alaska,2010,Consumption.Commercial.Natural Gas,15998
Alaska,2011,Consumption.Commercial.Natural Gas,19647
Alaska,2012,Consumption.Commercial.Natural Gas,20135
Alaska,2013,Consumption.Commercial.Natural Gas,18711
Alaska,2014,Consumption.Commercial.Natural Gas,17942
Alaska,2015,Consumption.Commercial.Natural Gas,18491
Alaska,2016,Consumption.Commercial.Natural Gas,15970
Alaska,2017,Consumption.Commercial.Natural Gas,15355
Alaska,2018,Consumption.Commercial.Natural Gas,14100
Alaska,2019,Consumption.Commercial.Natural Gas,14365
Alabama,1960,Consumption.Commercial.Natural Gas,18098
Alabama,1961,Consumption.Commercial.Natural Gas,27549
Alabama,1962,Consumption.Commercial.Natural Gas,30117
Alabama,1963,Consumption.Commercial.Natural Gas,34017
Alabama,1964,Consumption.Commercial.Natural Gas,35614
Alabama,1965,Consumption.Commercial.Natural Gas,33050
Alabama,1966,Consumption.Commercial.Natural Gas,32672
Alabama,1967,Consumption.Commercial.Natural Gas,31343
Alabama,1968,Consumption.Commercial.Natural Gas,35896
Alabama,1969,Consumption.Commercial.Natural Gas,38505
Alabama,1970,Consumption.Commercial.Natural Gas,37378
Alabama,1971,Consumption.Commercial.Natural Gas,37793
Alabama,1972,Consumption.Commercial.Natural Gas,38548
Alabama,1973,Consumption.Commercial.Natural Gas,34084
Alabama,1974,Consumption.Commercial.Natural Gas,36330
Alabama,1975,Consumption.Commercial.Natural Gas,34406
Alabama,1976,Consumption.Commercial.Natural Gas,35408
Alabama,1977,Consumption.Commercial.Natural Gas,35285
Alabama,1978,Consumption.Commercial.Natural Gas,30528
Alabama,1979,Consumption.Commercial.Natural Gas,37675
Alabama,1980,Consumption.Commercial.Natural Gas,29480
Alabama,1981,Consumption.Commercial.Natural Gas,27810
Alabama,1982,Consumption.Commercial.Natural Gas,27211
Alabama,1983,Consumption.Commercial.Natural Gas,27674
Alabama,1984,Consumption.Commercial.Natural Gas,28473
Alabama,1985,Consumption.Commercial.Natural Gas,26810
Alabama,1986,Consumption.Commercial.Natural Gas,26025
Alabama,1987,Consumption.Commercial.Natural Gas,23119
Alabama,1988,Consumption.Commercial.Natural Gas,26300
Alabama,1989,Consumption.Commercial.Natural Gas,27264
Alabama,1990,Consumption.Commercial.Natural Gas,24992
Alabama,1991,Consumption.Commercial.Natural Gas,24353
Alabama,1992,Consumption.Commercial.Natural Gas,25941
Alabama,1993,Consumption.Commercial.Natural Gas,26499
Alabama,1994,Consumption.Commercial.Natural Gas,26297
Alabama,1995,Consumption.Commercial.Natural Gas,26993
Alabama,1996,Consumption.Commercial.Natural Gas,29961
Alabama,1997,Consumption.Commercial.Natural Gas,33701
Alabama,1998,Consumption.Commercial.Natural Gas,26721
Alabama,1999,Consumption.Commercial.Natural Gas,28570
Alabama,2000,Consumption.Commercial.Natural Gas,26706
Alabama,2001,Consumption.Commercial.Natural Gas,27247
Alabama,2002,Consumption.Commercial.Natural Gas,25745
Alabama,2003,Consumption.Commercial.Natural Gas,26106
Alabama,2004,Consumption.Commercial.Natural Gas,27119
Alabama,2005,Consumption.Commercial.Natural Gas,25791
Alabama,2006,Consumption.Commercial.Natural Gas,25067
Alabama,2007,Consumption.Commercial.Natural Gas,24035
Alabama,2008,Consumption.Commercial.Natural Gas,25793
Alabama,2009,Consumption.Commercial.Natural Gas,24946
Alabama,2010,Consumption.Commercial.Natural Gas,27492
Alabama,2011,Consumption.Commercial.Natural Gas,25555
Alabama,2012,Consumption.Commercial.Natural Gas,21896
Alabama,2013,Consumption.Commercial.Natural Gas,25734
Alabama,2014,Consumption.Commercial.Natural Gas,28124
Alabama,2015,Consumption.Commercial.Natural Gas,25856
Alabama,2016,Consumption.Commercial.Natural Gas,24172
Alabama,2017,Consumption.Commercial.Natural Gas,23558
Alabama,2018,Consumption.Commercial.Natural Gas,27359
Alabama,2019,Consumption.Commercial.Natural Gas,25570
Arkansas,1960,Consumption.Commercial.Natural Gas,17762
Arkansas,1961,Consumption.Commercial.Natural Gas,18457
Arkansas,1962,Consumption.Commercial.Natural Gas,20817
Arkansas,1963,Consumption.Commercial.Natural Gas,22670
Arkansas,1964,Consumption.Commercial.Natural Gas,23990
Arkansas,1965,Consumption.Commercial.Natural Gas,27981
Arkansas,1966,Consumption.Commercial.Natural Gas,32770
Arkansas,1967,Consumption.Commercial.Natural Gas,35330
Arkansas,1968,Consumption.Commercial.Natural Gas,37886
Arkansas,1969,Consumption.Commercial.Natural Gas,39962
Arkansas,1970,Consumption.Commercial.Natural Gas,39326
Arkansas,1971,Consumption.Commercial.Natural Gas,30955
Arkansas,1972,Consumption.Commercial.Natural Gas,32462
Arkansas,1973,Consumption.Commercial.Natural Gas,33720
Arkansas,1974,Consumption.Commercial.Natural Gas,30950
Arkansas,1975,Consumption.Commercial.Natural Gas,33126
Arkansas,1976,Consumption.Commercial.Natural Gas,33872
Arkansas,1977,Consumption.Commercial.Natural Gas,34594
Arkansas,1978,Consumption.Commercial.Natural Gas,34584
Arkansas,1979,Consumption.Commercial.Natural Gas,33969
