State,Year,ConsumptionType,ConsumptionValue
Alaska,1960,Consumption.Commercial.Geothermal,0
Alaska,1961,Consumption.Commercial.Geothermal,0
Alaska,1962,Consumption.Commercial.Geothermal,0
Alaska,1963,Consumption.Commercial.Geothermal,0
Alaska,1964,Consumption.Commercial.Geothermal,0
Alaska,1965,Consumption.Commercial.Geothermal,0
Alaska,1966,Consumption.Commercial.Geothermal,0
Alaska,1967,Consumption.Commercial.Geothermal,0
Alaska,1968,Consumption.Commercial.Geothermal,0
Alaska,1969,Consumption.Commercial.Geothermal,0
Alaska,1970,Consumption.Commercial.Geothermal,0
Alaska,1971,Consumption.Commercial.Geothermal,0
Alaska,1972,Consumption.Commercial.Geothermal,0
Alaska,1973,Consumption.Commercial.Geothermal,0
Alaska,1974,Consumption.Commercial.Geothermal,0
Alaska,1975,Consumption.Commercial.Geothermal,0
Alaska,1976,Consumption.Commercial.Geothermal,0
Alaska,1977,Consumption.Commercial.Geothermal,0
Alaska,1978,Consumption.Commercial.Geothermal,0
Alaska,1979,Consumption.Commercial.Geothermal,0
Alaska,1980,Consumption.Commercial.Geothermal,0
Alaska,1981,Consumption.Commercial.Geothermal,0
Alaska,1982,Consumption.Commercial.Geothermal,0
Alaska,1983,Consumption.Commercial.Geothermal,0
Alaska,1984,Consumption.Commercial.Geothermal,0
Alaska,1985,Consumption.Commercial.Geothermal,0
Alaska,1986,Consumption.Commercial.Geothermal,0
Alaska,1987,Consumption.Commercial.Geothermal,0
Alaska,1988,Consumption.Commercial.Geothermal,0
Alaska,1989,Consumption.Commercial.Geothermal,20
Alaska,1990,Consumption.Commercial.Geothermal,20
Alaska,1991,Consumption.Commercial.Geothermal,20
Alaska,1992,Consumption.Commercial.Geothermal,20
Alaska,1993,Consumption.Commercial.Geothermal,20
Alaska,1994,Consumption.Commercial.Geothermal,20
Alaska,1995,Consumption.Commercial.Geothermal,20
Alaska,1996,Consumption.Commercial.Geothermal,20
Alaska,1997,Consumption.Commercial.Geothermal,20
Alaska,1998,Consumption.Commercial.Geothermal,20
Alaska,1999,Consumption.Commercial.Geothermal,36
Alaska,2000,Consumption.Commercial.Geothermal,36
Alaska,2001,Consumption.Commercial.Geothermal,36
Alaska,2002,Consumption.Commercial.Geothermal,36
Alaska,2003,Consumption.Commercial.Geothermal,39
Alaska,2004,Consumption.Commercial.Geothermal,39
Alaska,2005,Consumption.Commercial.Geothermal,41
Alaska,2006,Consumption.Commercial.Geothermal,38
Alaska,2007,Consumption.Commercial.Geothermal,35
Alaska,2008,Consumption.Commercial.Geothermal,71
Alaska,2009,Consumption.Commercial.Geothermal,74
Alaska,2010,Consumption.Commercial.Geothermal,74
Alaska,2011,Consumption.Commercial.Geothermal,88
Alaska,2012,Consumption.Commercial.Geothermal,85
Alaska,2013,Consumption.Commercial.Geothermal,85
Alaska,2014,Consumption.Commercial.Geothermal,85
Alaska,2015,Consumption.Commercial.Geothermal,85
Alaska,2016,Consumption.Commercial.Geothermal,85
Alaska,2017,Consumption.Commercial.Geothermal,85
Alaska,2018,Consumption.Commercial.Geothermal,85
Alaska,2019,Consumption.Commercial.Geothermal,85
Alabama,1960,Consumption.Commercial.Geothermal,0
Alabama,1961,Consumption.Commercial.Geothermal,0
Alabama,1962,Consumption.Commercial.Geothermal,0
Alabama,1963,Consumption.Commercial.Geothermal,0
Alabama,1964,Consumption.Commercial.Geothermal,0
Alabama,1965,Consumption.Commercial.Geothermal,0
Alabama,1966,Consumption.Commercial.Geothermal,0
Alabama,1967,Consumption.Commercial.Geothermal,0
Alabama,1968,Consumption.Commercial.Geothermal,0
Alabama,1969,Consumption.Commercial.Geothermal,0
Alabama,1970,Consumption.Commercial.Geothermal,0
Alabama,1971,Consumption.Commercial.Geothermal,0
Alabama,1972,Consumption.Commercial.Geothermal,0
Alabama,1973,Consumption.Commercial.Geothermal,0
Alabama,1974,Consumption.Commercial.Geothermal,0
Alabama,1975,Consumption.Commercial.Geothermal,0
Alabama,1976,Consumption.Commercial.Geothermal,0
Alabama,1977,Consumption.Commercial.Geothermal,0
Alabama,1978,Consumption.Commercial.Geothermal,0
Alabama,1979,Consumption.Commercial.Geothermal,0
Alabama,1980,Consumption.Commercial.Geothermal,0
Alabama,1981,Consumption.Commercial.Geothermal,0
Alabama,1982,Consumption.Commercial.Geothermal,0
Alabama,1983,Consumption.Commercial.Geothermal,0
Alabama,1984,Consumption.Commercial.Geothermal,0
Alabama,1985,Consumption.Commercial.Geothermal,0
Alabama,1986,Consumption.Commercial.Geothermal,0
Alabama,1987,Consumption.Commercial.Geothermal,0
Alabama,1988,Consumption.Commercial.Geothermal,0
Alabama,1989,Consumption.Commercial.Geothermal,0
Alabama,1990,Consumption.Commercial.Geothermal,0
Alabama,1991,Consumption.Commercial.Geothermal,0
Alabama,1992,Consumption.Commercial.Geothermal,0
Alabama,1993,Consumption.Commercial.Geothermal,0
Alabama,1994,Consumption.Commercial.Geothermal,0
